Item,Count
6,601374
3,450031
11,364065
1,197522
218,88598
7,86898
4,78097
27,72134
148,69922
55,65412
64,48262
77,43454
2,42927
138,35127
294,32247
83,32212
316,27852
40,24082
136,23679
446,23270
490,23225
69,22631
90,22062
215,21592
205,21373
303,21246
278,20114
438,18910
73,18749
87,18484
269,18343
135,18313
987,17804
737,17645
273,17177
56,15752
314,14842
504,14546
897,14297
512,12921
49,12702
25,12668
91,12248
364,12167
14,11607
378,11508
155,11494
32,11069
423,10967
667,10616
361,10122
28,10111
254,10077
229,10034
379,9783
321,9559
747,9368
993,9231
640,9163
916,8989
670,8938
46,8827
86,8823
85,8801
21,8763
644,8673
246,8642
1644,8606
662,8448
255,8364
259,8150
230,8123
762,8071
290,7876
521,7826
540,7710
281,7673
145,7672
934,7621
584,7598
777,7556
494,7507
514,7402
142,7322
260,7282
633,7277
357,7212
89,7204
506,7178
491,7154
1132,7113
265,7054
531,7052
2952,6933
492,6843
1025,6839
522,6773
71,6643
45,6581
233,6468
1838,6465
632,6444
435,6397
473,6291
237,6257
537,6248
1144,6185
686,6182
845,6176
470,6172
235,6133
358,6131
648,6123
158,5977
568,5975
152,5947
829,5935
1956,5932
5,5930
1751,5923
18,5917
678,5909
590,5874
12,5868
434,5836
866,5790
2072,5781
555,5720
1141,5688
1065,5662
397,5625
773,5583
354,5565
306,5525
1810,5515
573,5497
631,5428
324,5422
338,5419
659,5415
220,5412
232,5366
598,5362
455,5357
1019,5355
582,5339
339,5290
151,5276
499,5252
775,5247
448,5197
1770,5186
677,5182
452,5130
687,5107
970,5009
41,4933
266,4925
276,4915
1131,4906
901,4873
870,4856
296,4837
772,4833
1101,4798
1808,4778
211,4704
650,4703
1536,4697
534,4680
268,4669
247,4541
496,4533
508,4530
1138,4525
20,4504
665,4503
1052,4454
2303,4421
231,4405
1037,4386
1044,4378
356,4364
2886,4331
1030,4326
1507,4320
1748,4315
131,4313
1997,4308
2331,4306
827,4296
1464,4269
2024,4257
2124,4218
292,4218
154,4210
400,4197
363,4187
382,4185
2817,4149
467,4140
212,4113
974,4092
520,4091
1071,4089
144,4083
587,4052
1960,4025
688,4004
424,3990
37,3985
879,3979
331,3934
372,3910
1469,3893
697,3884
39,3876
838,3864
603,3833
882,3814
2826,3811
204,3791
738,3785
1023,3785
1018,3777
3197,3775
106,3764
528,3754
1707,3748
525,3747
2145,3728
88,3717
330,3712
102,3706
221,3706
2018,3694
800,3683
1481,3667
1035,3664
885,3664
3394,3648
787,3622
368,3622
332,3620
139,3613
837,3582
329,3579
312,3566
453,3554
1857,3554
3322,3551
422,3539
118,3525
1863,3525
236,3500
2953,3489
253,3488
333,3473
1517,3468
402,3449
672,3427
563,3423
261,3417
234,3390
370,3378
334,3375
1149,3374
1496,3366
1077,3362
1800,3355
141,3341
2035,3332
784,3332
1034,3321
753,3316
999,3290
258,3262
140,3221
793,3219
579,3219
516,3200
380,3197
3804,3192
472,3190
458,3168
2094,3159
240,3148
1769,3143
482,3134
744,3133
1839,3113
307,3101
371,3095
815,3084
2403,3073
1518,3064
564,3064
241,3064
464,3056
2298,3054
1519,3043
245,3042
1569,3034
1529,3031
445,3005
658,3004
1652,2992
3385,2988
2067,2975
1168,2972
2026,2967
719,2954
694,2952
465,2934
526,2927
689,2922
825,2921
729,2919
989,2912
2300,2907
1648,2905
2941,2902
529,2902
137,2892
2050,2890
350,2879
43,2877
1559,2872
1754,2868
3517,2857
257,2857
62,2853
2993,2850
660,2833
153,2830
442,2830
2283,2829
588,2824
786,2817
2284,2808
325,2805
515,2797
1140,2791
335,2780
1693,2779
326,2772
869,2770
776,2746
3405,2745
109,2739
336,2728
2133,2722
832,2720
930,2719
768,2712
337,2709
1524,2705
1716,2699
1166,2699
507,2697
2086,2686
270,2682
2243,2680
938,2675
1121,2671
1535,2669
112,2666
585,2665
3145,2659
78,2656
327,2645
523,2642
1628,2641
2357,2635
1775,2634
764,2622
766,2619
2059,2610
863,2604
527,2602
2332,2599
1864,2599
3351,2598
1980,2596
498,2591
530,2590
44,2577
2251,2576
4238,2558
2143,2546
666,2540
871,2527
513,2526
1906,2526
706,2512
1807,2508
759,2507
3456,2503
1146,2496
376,2494
1801,2492
3416,2490
2226,2482
2310,2480
1305,2478
889,2474
510,2473
1436,2472
3141,2468
1437,2468
1686,2463
1709,2455
461,2454
675,2449
17,2437
2342,2436
539,2429
228,2419
58,2413
1680,2413
1818,2413
2085,2410
1868,2407
104,2406
242,2405
353,2404
3390,2397
2163,2392
3553,2389
347,2382
2093,2379
3230,2374
421,2373
3187,2371
824,2365
3262,2358
4507,2357
3437,2349
3348,2347
1174,2346
1456,2344
1688,2341
997,2339
1351,2339
1817,2335
1865,2331
24,2330
4068,2330
4990,2328
1812,2326
2190,2322
3835,2313
1145,2309
1806,2305
1941,2292
781,2291
3820,2291
857,2290
3123,2282
2136,2272
3155,2268
355,2267
1000,2266
826,2264
1011,2261
1685,2259
2847,2258
1134,2255
1610,2251
160,2250
2029,2247
1135,2246
3680,2239
1805,2236
1544,2233
1570,2228
2042,2227
159,2227
3607,2227
2954,2217
1566,2212
3473,2210
1545,2209
1050,2208
161,2207
1458,2202
469,2200
2155,2192
351,2192
2448,2191
134,2179
1541,2177
554,2176
2019,2175
3255,2174
3957,2172
2192,2170
262,2165
629,2157
271,2155
130,2152
5093,2150
3603,2150
1710,2149
1564,2146
5092,2146
1738,2146
2134,2139
344,2138
2159,2138
5101,2136
206,2125
1514,2124
2057,2123
342,2120
468,2119
861,2116
978,2116
3695,2116
1155,2111
1605,2109
1858,2106
1463,2104
