Item,Count
1,14716
2,6724
3,6499
4,4760
5,4679
6,4236
7,3003
8,2532
9,2431
10,1977
11,1817
12,1777
13,1770
14,1753
15,1743
16,1646
17,1641
18,1527
19,1441
20,1332
21,1229
22,1176
23,1105
24,1071
25,1066
26,1061
27,1061
28,982
29,947
30,905
31,800
32,797
33,779
34,777
35,776
36,683
37,662
38,655
39,628
40,626
41,621
42,620
43,619
44,607
45,601
46,593
47,588
48,579
49,567
50,556
51,528
52,522
53,519
54,508
55,503
56,474
57,451
58,448
59,445
60,440
61,428
62,426
63,419
64,415
65,406
66,404
67,397
68,392
70,383
69,383
71,379
72,377
73,376
74,368
75,363
76,345
77,344
78,332
79,326
80,322
81,321
82,319
83,317
85,312
84,312
86,308
87,307
89,305
88,305
90,304
91,303
92,299
93,294
94,292
95,288
96,287
97,283
98,277
99,276
100,271
101,271
102,268
103,266
104,265
105,262
106,258
107,255
108,253
110,252
109,252
111,249
112,249
113,246
114,245
116,240
115,240
118,239
117,239
119,237
120,234
121,233
122,232
123,230
124,226
125,224
126,222
127,220
128,216
130,212
131,212
129,212
132,210
133,206
135,205
134,205
136,204
137,202
138,197
139,197
140,193
141,192
142,191
143,189
144,188
145,184
147,183
146,183
149,182
148,182
150,179
151,178
152,177
153,171
154,170
155,168
156,167
157,165
158,164
159,164
160,162
161,159
163,156
162,156
164,155
165,154
167,152
168,152
166,152
170,151
169,151
171,150
173,149
172,149
174,148
175,142
176,141
177,140
178,138
179,137
180,136
181,135
182,135
183,134
184,134
185,131
186,131
188,130
187,130
191,129
193,129
189,129
190,129
194,129
192,129
195,127
197,126
196,126
198,125
199,124
200,124
201,123
202,122
203,121
204,120
205,119
206,119
207,118
208,117
209,117
210,116
212,115
211,115
213,114
216,113
215,113
214,113
218,112
220,112
217,112
219,112
222,110
221,110
223,107
224,106
225,105
226,104
228,101
231,101
229,101
230,101
227,101
232,99
234,98
233,98
236,98
235,98
237,97
238,97
239,96
241,96
240,96
242,95
243,95
244,95
245,94
246,93
247,92
248,92
249,92
250,92
251,91
252,91
253,90
255,90
254,90
256,89
259,89
257,89
258,89
260,88
262,88
261,88
263,87
264,87
266,87
265,87
268,86
267,86
269,86
270,85
275,84
273,84
276,84
271,84
272,84
274,84
277,83
279,82
280,82
278,82
281,82
282,81
283,81
285,80
284,80
288,79
287,79
291,79
289,79
290,79
292,79
286,79
296,78
295,78
294,78
293,78
297,78
300,77
298,77
299,77
306,76
304,76
307,76
305,76
301,76
303,76
302,76
310,75
308,75
309,75
312,74
311,74
315,73
316,73
314,73
319,73
313,73
317,73
318,73
323,72
322,72
320,72
321,72
324,71
325,71
328,70
326,70
327,70
329,70
331,69
332,69
330,69
334,68
338,68
335,68
336,68
337,68
333,68
339,67
340,67
342,66
343,66
341,66
344,66
345,66
347,65
346,65
348,65
355,64
352,64
354,64
351,64
350,64
349,64
353,64
358,63
359,63
357,63
356,63
360,62
361,62
363,62
365,62
364,62
362,62
366,61
367,60
369,59
368,59
371,59
370,59
372,58
375,57
376,57
373,57
374,57
379,56
380,56
384,56
382,56
383,56
377,56
378,56
381,56
389,55
385,55
388,55
386,55
387,55
394,54
390,54
391,54
395,54
392,54
393,54
401,53
399,53
397,53
398,53
400,53
396,53
403,53
402,53
406,52
407,52
404,52
405,52
412,51
413,51
414,51
410,51
408,51
411,51
409,51
428,50
419,50
424,50
423,50
429,50
421,50
415,50
420,50
427,50
425,50
422,50
418,50
416,50
426,50
417,50
435,49
431,49
430,49
434,49
433,49
432,49
447,48
439,48
441,48
438,48
444,48
436,48
442,48
445,48
446,48
440,48
443,48
437,48
450,47
448,47
449,47
451,47
452,47
455,46
454,46
463,46
460,46
461,46
459,46
462,46
458,46
453,46
457,46
456,46
472,45
470,45
469,45
465,45
468,45
474,45
466,45
471,45
464,45
467,45
473,45
481,44
478,44
477,44
484,44
480,44
483,44
475,44
482,44
479,44
476,44
493,43
489,43
485,43
487,43
492,43
496,43
491,43
488,43
494,43
486,43
495,43
490,43
501,42
497,42
508,42
503,42
500,42
505,42
499,42
502,42
507,42
504,42
498,42
506,42
513,41
511,41
512,41
515,41
514,41
519,41
517,41
516,41
520,41
510,41
509,41
518,41
529,40
528,40
527,40
524,40
522,40
525,40
521,40
526,40
523,40
536,39
534,39
537,39
533,39
540,39
538,39
530,39
532,39
539,39
542,39
541,39
535,39
531,39
558,38
560,38
550,38
556,38
554,38
555,38
552,38
557,38
549,38
547,38
545,38
548,38
553,38
544,38
543,38
551,38
546,38
559,38
566,37
568,37
564,37
563,37
562,37
561,37
573,37
571,37
565,37
570,37
576,37
567,37
569,37
572,37
575,37
574,37
590,36
577,36
582,36
586,36
589,36
587,36
578,36
588,36
591,36
580,36
579,36
581,36
584,36
585,36
592,36
583,36
593,35
603,35
606,35
607,35
596,35
597,35
600,35
605,35
602,35
604,35
595,35
601,35
599,35
598,35
594,35
620,34
613,34
612,34
617,34
623,34
608,34
610,34
611,34
619,34
622,34
615,34
614,34
621,34
616,34
609,34
618,34
643,33
632,33
642,33
636,33
630,33
629,33
635,33
624,33
638,33
631,33
639,33
633,33
634,33
626,33
625,33
628,33
640,33
641,33
644,33
645,33
627,33
637,33
648,32
647,32
663,32
650,32
651,32
661,32
646,32
655,32
657,32
653,32
662,32
659,32
654,32
649,32
656,32
658,32
652,32
660,32
675,31
671,31
676,31
679,31
685,31
678,31
673,31
680,31
687,31
668,31
682,31
667,31
672,31
665,31
674,31
681,31
666,31
670,31
677,31
669,31
686,31
683,31
664,31
684,31
689,30
701,30
695,30
698,30
690,30
697,30
692,30
694,30
705,30
691,30
703,30
688,30
700,30
693,30
699,30
704,30
702,30
696,30
731,29
712,29
734,29
721,29
719,29
726,29
723,29
708,29
709,29
733,29
707,29
710,29
714,29
730,29
722,29
724,29
706,29
716,29
735,29
728,29
718,29
711,29
715,29
727,29
725,29
729,29
732,29
720,29
713,29
717,29
743,28
745,28
752,28
739,28
757,28
741,28
746,28
748,28
736,28
754,28
744,28
753,28
756,28
749,28
742,28
738,28
747,28
737,28
750,28
751,28
755,28
740,28
768,27
775,27
766,27
777,27
780,27
779,27
763,27
772,27
761,27
758,27
762,27
767,27
760,27
778,27
774,27
773,27
764,27
771,27
769,27
759,27
765,27
770,27
776,27
784,26
805,26
806,26
800,26
798,26
803,26
792,26
817,26
789,26
808,26
786,26
793,26
782,26
797,26
795,26
804,26
801,26
790,26
787,26
818,26
809,26
788,26
815,26
799,26
811,26
813,26
791,26
812,26
783,26
816,26
807,26
796,26
802,26
781,26
785,26
814,26
794,26
810,26
848,25
820,25
853,25
833,25
823,25
827,25
840,25
834,25
841,25
838,25
845,25
819,25
837,25
836,25
824,25
839,25
826,25
844,25
828,25
832,25
849,25
831,25
852,25
842,25
835,25
822,25
825,25
846,25
821,25
830,25
851,25
829,25
847,25
843,25
850,25
888,24
854,24
886,24
884,24
857,24
876,24
880,24
890,24
871,24
878,24
865,24
855,24
877,24
860,24
866,24
867,24
872,24
864,24
875,24
862,24
894,24
856,24
861,24
879,24
887,24
868,24
891,24
883,24
874,24
892,24
869,24
870,24
863,24
893,24
881,24
859,24
885,24
858,24
873,24
882,24
889,24
923,23
919,23
895,23
921,23
896,23
914,23
900,23
920,23
909,23
912,23
917,23
915,23
906,23
902,23
901,23
898,23
903,23
916,23
918,23
911,23
908,23
899,23
922,23
913,23
897,23
907,23
904,23
905,23
910,23
954,22
941,22
946,22
945,22
934,22
930,22
948,22
935,22
947,22
924,22
950,22
929,22
944,22
927,22
928,22
931,22
932,22
926,22
940,22
952,22
942,22
936,22
939,22
933,22
949,22
937,22
951,22
938,22
953,22
925,22
943,22
962,21
958,21
982,21
986,21
974,21
973,21
970,21
969,21
984,21
961,21
965,21
987,21
988,21
993,21
981,21
976,21
983,21
967,21
966,21
955,21
989,21
985,21
957,21
975,21
960,21
972,21
963,21
995,21
956,21
971,21
959,21
964,21
979,21
992,21
994,21
968,21
977,21
978,21
980,21
990,21
991,21
1042,20
1021,20
1011,20
1005,20
1043,20
1027,20
1044,20
1020,20
1023,20
1025,20
1010,20
1031,20
1004,20
1033,20
1016,20
1002,20
999,20
1015,20
1000,20
1024,20
998,20
1007,20
997,20
1009,20
1038,20
1006,20
1018,20
1028,20
1026,20
1001,20
1022,20
1013,20
1019,20
1017,20
1003,20
1037,20
1035,20
1008,20
996,20
1040,20
1036,20
1012,20
1039,20
1032,20
1014,20
1029,20
1034,20
1030,20
1041,20
1080,19
1105,19
1058,19
1095,19
1052,19
1097,19
1100,19
1101,19
1099,19
1102,19
1073,19
1083,19
1067,19
1064,19
1093,19
1063,19
1089,19
1051,19
1068,19
1057,19
1045,19
1092,19
1056,19
1078,19
1094,19
1055,19
1070,19
1060,19
1082,19
1050,19
1088,19
1062,19
1059,19
1046,19
1048,19
1098,19
1091,19
1075,19
1053,19
1065,19
1086,19
1066,19
1084,19
1087,19
1090,19
1085,19
1047,19
1077,19
1096,19
1076,19
1104,19
1069,19
1079,19
1081,19
1054,19
1061,19
1071,19
1074,19
1049,19
1072,19
1103,19
1121,18
1120,18
1159,18
1107,18
1110,18
1123,18
1171,18
1106,18
1127,18
1158,18
1140,18
1117,18
1161,18
1145,18
1154,18
1137,18
1160,18
1163,18
1143,18
1132,18
1147,18
1113,18
1122,18
1150,18
1155,18
1151,18
1112,18
1142,18
1126,18
1170,18
1133,18
1166,18
1130,18
1152,18
1157,18
1124,18
1136,18
1138,18
1162,18
1125,18
1116,18
1134,18
1114,18
1169,18
1164,18
1144,18
1153,18
1165,18
1108,18
1156,18
1131,18
1168,18
1172,18
1148,18
1149,18
1118,18
1135,18
1141,18
1167,18
1128,18
1119,18
1129,18
1146,18
1115,18
1111,18
1139,18
1109,18
1180,17
1207,17
1199,17
1203,17
1202,17
1213,17
1227,17
1190,17
1185,17
1219,17
1191,17
1176,17
1182,17
1193,17
1212,17
1181,17
1209,17
1225,17
1175,17
1221,17
1206,17
1229,17
1187,17
1188,17
1200,17
1173,17
1208,17
1197,17
1186,17
1189,17
1179,17
1233,17
1234,17
1223,17
1198,17
1216,17
1205,17
1218,17
1195,17
1210,17
1232,17
1201,17
1230,17
1220,17
1211,17
1192,17
1174,17
1204,17
1194,17
1217,17
1184,17
1178,17
1228,17
1215,17
1214,17
1183,17
1226,17
1231,17
1222,17
1224,17
1177,17
1196,17
1321,16
1265,16
1296,16
1255,16
1240,16
1273,16
1254,16
1263,16
1312,16
1262,16
1308,16
1311,16
1249,16
1293,16
1287,16
1256,16
1314,16
1278,16
1294,16
1271,16
1238,16
1318,16
1275,16
1236,16
1317,16
1279,16
1237,16
1247,16
1239,16
1310,16
1252,16
1319,16
1269,16
1302,16
1268,16
1303,16
1283,16
1322,16
1309,16
1307,16
1259,16
1291,16
1250,16
1266,16
1246,16
1289,16
1253,16
1244,16
1257,16
1288,16
1315,16
1260,16
1281,16
1267,16
1251,16
1297,16
1264,16
1258,16
1282,16
1304,16
1299,16
1277,16
1313,16
1305,16
1300,16
1261,16
1285,16
1235,16
1320,16
1298,16
1245,16
1274,16
1284,16
1316,16
1243,16
1301,16
1280,16
1270,16
1276,16
1295,16
1306,16
1272,16
1242,16
1286,16
1290,16
1241,16
1292,16
1248,16
1339,15
1360,15
1329,15
1388,15
1423,15
1367,15
1417,15
1405,15
1394,15
1382,15
1326,15
1403,15
1349,15
1424,15
