Rank,Word,Count,Frequency
1,the,14716,0.0676874675154431
2,of,6724,0.030927597959624856
3,and,6499,0.029892691722129976
4,a,4760,0.02189401640211397
5,to,4679,0.02152145015661581
6,in,4236,0.01948383476457033
7,that,3003,0.01381254858309837
8,his,2532,0.01164614485927575
9,it,2431,0.01118158694822249
10,i,1977,0.009093376140121704
11,but,1817,0.0083574428156809
12,he,1777,0.008173459484570697
13,with,1770,0.008141262401626412
14,as,1753,0.008063069485904578
15,is,1743,0.008017073653127026
16,was,1646,0.007570914075184788
17,for,1641,0.007547916158796013
18,all,1527,0.007023563665131939
19,this,1441,0.006627999503245006
20,at,1332,0.006126644925969707
21,by,1229,0.0056528878483609385
22,not,1176,0.0054091099346399215
23,from,1105,0.005082539521919314
24,on,1071,0.004926153690475643
25,him,1066,0.004903155774086868
26,be,1061,0.004880157857698093
27,so,1061,0.004880157857698093
28,whale,982,0.004516790778755444
29,you,947,0.004355805364034018
30,one,905,0.004162622866368307
31,there,800,0.003679666622204028
32,or,797,0.003665867872370763
33,had,779,0.0035830753733711728
34,now,777,0.0035738762068156624
35,have,776,0.0035692766235379076
36,were,683,0.0031415153787066894
37,they,662,0.0030449241298738335
38,which,655,0.003012727046929548
39,then,628,0.002888538298430162
40,me,626,0.002879339131874652
41,are,621,0.002856341215485877
42,their,620,0.002851741632208122
43,some,619,0.002847142048930367
44,when,607,0.0027919470495973066
45,an,601,0.0027643495499307764
46,no,593,0.002727552883708736
47,my,588,0.0027045549673199607
48,like,579,0.0026631587178201654
49,upon,567,0.002607963718487105
50,what,556,0.0025573683024317996
51,out,528,0.002428579970654659
52,into,522,0.0024009824709881286
53,up,519,0.0023871837211548634
54,more,508,0.002336588305099558
55,if,503,0.0023135903887107827
56,them,474,0.0021802024736558867
57,we,451,0.002074412058267521
58,man,448,0.0020606133084342558
59,old,445,0.0020468145586009906
60,ahab,440,0.0020238166422122156
61,would,428,0.001968621642879155
62,ye,426,0.001959422476323645
63,other,419,0.0019272253933793598
64,been,415,0.0019088270602683397
65,these,406,0.0018674308107685443
66,over,404,0.0018582316442130344
67,will,397,0.001826034561268749
68,ship,392,0.001803036644879974
69,sea,383,0.0017616403953801785
70,though,383,0.0017616403953801785
71,its,379,0.0017432420622691585
72,only,377,0.0017340428957136483
73,such,376,0.0017294433124358933
74,down,368,0.001692646646213853
75,any,363,0.001669648729825078
76,who,345,0.0015868562308254872
77,yet,344,0.0015822566475477322
78,her,332,0.0015270616482146717
79,time,326,0.0014994641485481415
80,do,322,0.0014810658154371214
81,very,321,0.0014764662321593664
82,long,319,0.0014672670656038563
83,about,317,0.0014580678990483461
84,than,312,0.001435069982659571
85,still,312,0.001435069982659571
86,chapter,308,0.001416671649548551
87,those,307,0.0014120720662707958
88,great,305,0.0014028728997152859
89,said,305,0.0014028728997152859
90,captain,304,0.0013982733164375307
91,before,303,0.0013936737331597757
92,here,299,0.0013752754000487556
93,has,294,0.0013522774836599804
94,must,292,0.0013430783171044704
95,two,288,0.0013246799839934501
96,most,287,0.0013200804007156952
