Item,Count
39,50675
48,42135
38,15596
32,15167
41,14945
65,4472
89,3837
225,3257
170,3099
237,3032
36,2936
110,2794
310,2594
101,2237
475,2167
271,2094
413,1880
438,1863
1327,1786
147,1779
270,1734
2238,1715
79,1600
60,1489
533,1487
255,1474
12925,1467
1146,1426
185,1376
9,1372
16010,1316
123,1302
14098,1291
338,1274
592,1227
824,1210
604,1209
301,1204
286,1183
740,1181
16217,1166
1393,1161
249,1160
15832,1143
548,1137
201,1133
49,1120
589,1119
677,1110
1004,1102
37,1074
78,1060
13041,1051
117,1026
161,1010
19,1005
179,998
258,987
522,974
175,970
783,965
3270,950
479,926
31,920
956,911
45,911
242,911
2958,904
264,895
10515,882
405,879
1578,874
76,869
18,860
649,857
544,851
549,843
389,831
156,830
812,821
229,820
976,817
103,812
703,806
1600,801
766,797
570,792
371,782
334,774
1435,765
107,765
23,758
1344,753
772,752
664,752
12929,742
806,741
488,720
535,718
10,712
11,711
55,704
681,704
269,701
464,695
407,693
260,691
449,690
1814,688
259,684
379,677
396,674
16011,669
1135,667
186,660
1198,660
105,657
3616,654
272,650
789,648
340,643
279,633
865,632
809,626
2046,625
251,621
10446,618
1986,614
15618,614
209,611
441,609
425,606
8978,606
675,601
420,600
1783,600
1144,599
2199,597
150,597
846,595
947,591
1715,590
4336,589
1067,584
374,584
267,584
885,576
581,574
1872,572
2437,571
878,570
2383,569
1239,569
1043,551
2,549
155,546
916,543
62,543
913,543
961,540
30,540
1417,536
56,535
12946,535
208,529
704,526
297,525
623,525
2118,525
1693,524
261,523
790,523
4883,521
910,519
855,519
94,516
398,515
571,513
1355,512
53,509
2284,508
426,508
1714,507
798,503
52,501
2168,499
856,494
793,494
345,490
2329,488
1987,482
808,482
2080,481
418,481
2879,481
2399,481
178,479
14933,479
408,479
12959,476
10444,473
1479,472
1677,468
136,467
1867,467
432,466
1020,465
80,464
2184,462
2051,461
2135,461
1659,459
831,454
281,453
1704,450
1585,450
1113,448
1404,446
490,445
47,444
365,442
979,439
13189,438
352,438
384,437
319,435
2505,433
1062,433
591,432
2987,431
9501,430
1158,428
830,428
547,428
514,427
2523,426
16430,426
1121,425
2343,425
1126,425
1000,423
1486,423
1513,422
3799,421
9555,421
351,420
2241,420
1277,420
2056,419
1543,419
10653,418
10491,418
12943,417
10656,415
1557,415
8985,414
842,412
415,412
248,412
694,412
2673,411
1066,411
2775,410
14099,409
12,409
1481,409
3361,409
1103,407
246,405
4698,405
176,404
12951,403
1052,401
1361,400
2208,399
13443,396
341,396
1313,392
2492,392
1859,391
840,391
1214,391
12935,390
2515,388
1003,387
2353,383
727,383
1257,383
715,382
10490,382
3502,381
1930,379
1082,379
390,376
903,376
2015,376
2115,375
370,375
2187,374
1562,374
1619,372
978,371
2552,371
1973,371
730,369
817,369
785,369
8691,369
2991,369
734,366
232,366
7205,366
1046,365
5051,363
640,359
768,354
2626,353
3510,352
829,352
424,352
16431,351
2254,347
610,346
1027,346
497,346
15,345
2065,345
993,344
2468,343
1308,343
12933,342
3904,341
1425,341
10442,340
2633,339
653,339
2325,339
1444,339
1638,339
7975,339
10525,338
1081,337
195,337
1360,337
4650,337
643,336
346,335
984,334
2894,334
96,334
2091,332
1185,332
3827,330
164,330
13334,330
769,329
4393,329
751,328
15578,328
203,327
2215,327
1698,327
12982,325
1196,325
13174,325
652,325
2495,324
4524,324
1209,324
3964,324
13032,324
75,324
921,322
1529,322
433,321
215,320
66,319
2075,319
501,319
342,319
2629,318
622,317
262,317
3317,316
2191,316
204,316
534,316
1808,314
3759,312
10943,311
1333,311
1655,311
1034,310
2524,310
2792,309
309,309
235,309
227,307
397,307
1991,306
278,306
320,305
213,304
4207,303
12981,303
10451,302
989,302
1956,302
14386,301
2749,301
2364,301
927,301
3316,300
166,300
2425,300
2375,300
1939,300
697,300
4779,299
1489,299
1281,298
504,298
2054,297
5152,297
4994,296
2440,296
682,296
1842,296
1172,295
5,295
1080,295
543,295
5074,294
1590,293
2464,293
168,293
8068,293
2164,293
1763,292
9579,291
938,290
1282,289
5729,289
3294,289
423,288
4642,288
2388,288
5405,288
1001,287
907,287
718,287
4899,287
82,287
3194,286
3668,286
662,286
2635,285
2965,285
10551,285
234,284
412,284
1564,283
1280,283
511,283
1379,283
1976,281
2625,281
764,280
2344,280
611,280
2596,280
3279,279
1269,279
4070,278
1291,277
1294,277
684,277
128,276
1188,276
250,276
169,276
4945,275
2573,275
10420,275
1741,275
165,274
805,274
615,274
3315,274
2997,273
1232,272
5248,272
244,272
5124,272
2053,271
95,271
1096,271
4685,270
1616,270
1602,270
10605,270
563,270
2856,268
285,268
12473,268
8867,267
116,266
1010,266
1903,266
2370,266
2167,266
1,266
1938,265
10448,265
1183,265
347,264
1629,264
3635,264
2763,264
1786,264
2988,264
308,263
673,263
3012,263
414,263
3151,262
536,262
932,262
344,262
205,262
3462,262
587,261
1014,261
753,261
749,261
4344,261
2212,261
1831,260
2915,260
2259,260
1013,260
757,260
2420,260
550,260
10513,259
189,259
612,259
552,259
3160,259
489,259
492,259
3189,258
4307,258
647,258
1899,258
837,257
1966,257
206,257
2225,257
167,256
1163,256
3451,256
1026,256
987,255
2843,255
576,255
5728,254
1595,254
925,253
1372,253
10568,253
1143,253
1497,253
2723,253
3102,252
924,252
1897,252
2406,252
2186,251
2561,251
1819,251
1804,251
597,251
795,251
2441,250
77,250
256,250
50,249
1609,249
1318,249
2177,249
2815,249
2276,248
767,248
350,248
2998,248
388,248
651,247
1104,247
1591,247
1160,247
69,246
133,245
15345,244
3291,244
2350,244
1594,244
3321,244
708,244
1378,244
104,244
491,244
3404,243
760,243
4339,243
2528,243
1332,243
2634,242
3311,241
1784,241
3683,240
1994,240
926,240
1395,239
200,239
392,239
4209,239
606,239
2188,238
9304,238
2103,237
1476,237
911,237
4316,237
565,237
1249,237
4170,236
759,235
399,235
599,235
887,235
440,235
1085,235
12677,235
108,234
4630,234
849,234
2990,233
6128,233
282,233
2874,233
1072,232
1071,232
98,232
3553,232
151,232
3221,231
2728,231
2983,231
447,231
851,231
486,231
2746,230
3292,230
13182,230
1012,230
2052,230
9001,230
10074,230
220,230
1815,229
4940,229
2706,229
1527,228
10818,228
222,228
650,228
1652,228
3149,228
406,228
3724,227
560,227
1996,227
3774,226
2113,226
1818,226
1345,226
9669,225
525,225
1964,225
896,225
171,225
2394,224
9843,224
3006,224
660,224
337,224
529,224
2599,223
199,223
1678,222
1744,222
4720,222
2805,222
1593,222
880,222
583,222
3966,221
402,221
493,221
